graph, nodes, labels, buildTime, query, queryTime, algoId, estimation, expected
Biblio,837,6,34,8/3,2,SubgraphEdgeBased,64,93
Biblio,837,6,34,2/5,3,SubgraphEdgeBased,67,155
Biblio,837,6,34,3/2,2,SubgraphEdgeBased,0,0
Biblio,837,6,34,9/6,3,SubgraphEdgeBased,62,118
Biblio,837,6,179,1/0/4/2/5,6,SubgraphHighK,32,61
Biblio,837,6,179,1/0/4/2/8,4,SubgraphHighK,169,461
Biblio,837,6,179,1/0/4/3,3,SubgraphHighK,11,37
Biblio,837,6,179,1/0/2/5,3,SubgraphHighK,26,51
Biblio,837,6,179,0/4/2/5,5,SubgraphHighK,125,121
Biblio,837,6,179,1/0/10/2/5,3,SubgraphHighK,6,38
Biblio,837,6,179,7/0/4/2/8,4,SubgraphHighK,339,561
Biblio,837,6,179,7/0/10/3,5,SubgraphHighK,61,32
Biblio,837,6,179,0/10/2/5,3,SubgraphHighK,84,87
Biblio,837,6,179,1/0/2/5,3,SubgraphHighK,26,51
Biblio,837,6,179,7/1/0,4,SubgraphHighK,181,220
Biblio,837,6,179,0/4/10,4,SubgraphHighK,925,1456
Biblio,837,6,179,0/2/5,4,SubgraphHighK,99,151
Biblio,837,6,179,0/2/5,4,SubgraphHighK,99,151
Biblio,837,6,179,0/10/2,3,SubgraphHighK,242,260
Biblio,837,6,179,0/4/2,4,SubgraphHighK,169,284
Biblio,837,6,179,7/0/3,4,SubgraphHighK,68,70
Biblio,837,6,179,9/4/6,6,SubgraphHighK,63,64
Biblio,837,6,179,9/10/6,6,SubgraphHighK,37,85
Biblio,837,6,179,1/1/4,6,SubgraphHighK,0,0
Biblio,837,6,179,1/0,6,SubgraphHighK,196,216
Biblio,837,6,179,0/10,5,SubgraphHighK,300,275
Biblio,837,6,179,0/2,4,SubgraphHighK,414,428
Biblio,837,6,179,8/3,3,SubgraphHighK,130,93
Biblio,837,6,179,2/5,15,SubgraphHighK,136,155
Biblio,837,6,179,3/2,2,SubgraphHighK,0,0
Biblio,837,6,179,9/6,3,SubgraphHighK,130,118
Biblio,837,6,120,1/0/4/2/5,5,SubgraphKFactors,20,61
Biblio,837,6,120,1/0/4/2/8,2,SubgraphKFactors,108,461
Biblio,837,6,120,1/0/4/3,3,SubgraphKFactors,9,37
Biblio,837,6,120,1/0/2/5,2,SubgraphKFactors,21,51
Biblio,837,6,120,0/4/2/5,8,SubgraphKFactors,101,121
Biblio,837,6,120,1/0/10/2/5,3,SubgraphKFactors,4,38
Biblio,837,6,120,7/0/4/2/8,12,SubgraphKFactors,217,561
Biblio,837,6,120,7/0/10/3,3,SubgraphKFactors,49,32
Biblio,837,6,120,0/10/2/5,2,SubgraphKFactors,68,87
Biblio,837,6,120,1/0/2/5,14,SubgraphKFactors,21,51
Biblio,837,6,120,7/1/0,2,SubgraphKFactors,160,220
Biblio,837,6,120,0/4/10,4,SubgraphKFactors,815,1456
Biblio,837,6,120,0/2/5,8,SubgraphKFactors,87,151
Biblio,837,6,120,0/2/5,3,SubgraphKFactors,87,151
Biblio,837,6,120,0/10/2,3,SubgraphKFactors,213,260
Biblio,837,6,120,0/4/2,3,SubgraphKFactors,149,284
Biblio,837,6,120,7/0/3,2,SubgraphKFactors,60,70
Biblio,837,6,120,9/4/6,2,SubgraphKFactors,55,64
Biblio,837,6,120,9/10/6,3,SubgraphKFactors,33,85
Biblio,837,6,120,1/1/4,4,SubgraphKFactors,0,0
Biblio,837,6,120,1/0,14,SubgraphKFactors,199,216
Biblio,837,6,120,0/10,3,SubgraphKFactors,305,275
Biblio,837,6,120,0/2,2,SubgraphKFactors,421,428
Biblio,837,6,120,8/3,2,SubgraphKFactors,132,93
Biblio,837,6,120,2/5,5,SubgraphKFactors,138,155
Biblio,837,6,120,3/2,2,SubgraphKFactors,0,0
